module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
Web Design Studio,bmad-wds-alignment,Alignment & Signoff,AS,Stakeholder buy-in pitch and service agreement. Skip if building your own product.,,0-wds-pitch,false,,,,,false,design_artifacts/A-Product-Brief,pitch service-agreement signoff,
Web Design Studio,bmad-wds-conceptual-sketching,Conceptual Sketching,CS,Fast rough visual exploration before detailed specification. Skip for straightforward scenarios.,,2-wds-design,bmad-wds-outline-scenarios,,,,,false,design_artifacts/C-UX-Scenarios,sketches,
Web Design Studio,bmad-wds-conceptual-specs,Conceptual Specifications,SP,Document every design decision for every element on every page. Developers build directly from this.,,2-wds-design,bmad-wds-outline-scenarios,,,,,true,design_artifacts/C-UX-Scenarios,page-specs scenario-specs,
Web Design Studio,bmad-wds-design-delivery,Design Delivery,DD,Validate specs are complete and package as DD yaml files for development handoff.,,2-wds-design,bmad-wds-conceptual-specs,,,,,true,design_artifacts/E-PRD/Design-Deliveries,delivery-package acceptance-criteria,
Web Design Studio,bmad-wds-design-system,Design System,DS,Manage component library and design tokens. Skip if Design System Mode None.,,2-wds-design,bmad-wds-functional-components,,,,,false,design_artifacts/D-Design-System,components/ design-tokens.md,
Web Design Studio,bmad-wds-freya,Wake Freya,FREYA,UX Designer agent for Phases 3-4. Checks prerequisites and offers next steps.,,0-wds-agents,false,,,,,false,,,
Web Design Studio,bmad-wds-functional-components,Functional Components,FI,Extract reusable patterns from specs into component definitions. Skip if Design System Mode None.,,2-wds-design,bmad-wds-conceptual-specs,,,,,false,design_artifacts/C-UX-Scenarios,component-candidates,
Web Design Studio,bmad-wds-outline-scenarios,Outline Scenarios,OS,Define user journeys as persona+goal+outcome. Each connects to a Trigger Map driving force.,,2-wds-design,bmad-wds-trigger-mapping,,,,,true,design_artifacts/C-UX-Scenarios,scenario-overview.md,
Web Design Studio,bmad-wds-platform-requirements,Platform Requirements,PR,Technical boundaries: platforms devices integrations constraints. Skip for simple landing pages.,,1-wds-strategy,bmad-wds-project-brief,,,,,false,design_artifacts/A-Product-Brief,platform-requirements.md,
Web Design Studio,bmad-wds-product-evolution,Product Evolution,PE,Continuous improvement: feedback to Trigger Map to spec update to code to verify.,,3-wds-build,bmad-wds-usability-testing,,,,,false,design_artifacts,updated-artifacts,
Web Design Studio,bmad-wds-project-brief,Project Brief,PB,Define product vision positioning and success criteria. Every design decision traces back to this.,,1-wds-strategy,false,,,,,true,design_artifacts/A-Product-Brief,project-brief.md,
Web Design Studio,bmad-wds-saga,Wake Saga,SAGA,Strategic Analyst agent for Phases 1-2. Scans repos and offers next steps.,,0-wds-agents,false,,,,,false,,,
Web Design Studio,bmad-wds-storyboarding,Storyboarding,SB,Sequence the user journey through screens with entry points transitions and error paths. Skip for simple scenarios.,,2-wds-design,bmad-wds-outline-scenarios,,,,,false,design_artifacts/C-UX-Scenarios,storyboards,
Web Design Studio,bmad-wds-trigger-mapping,Trigger Mapping,TM,Map business goals to user psychology. Create personas and score features against driving forces.,,1-wds-strategy,bmad-wds-project-brief,,,,,true,design_artifacts/B-Trigger-Map,trigger-map.md personas/ feature-impact-analysis.md,
Web Design Studio,bmad-wds-usability-testing,Acceptance Testing,AT,Test on real users in their environment with retrospective think-aloud sessions.,,3-wds-build,bmad-wds-agentic-development,,,,,false,design_artifacts/F-Testing,test-results findings,
Web Design Studio,bmad-wds-visual-design,Visual Design,VD,Transform specs into styled HTML prototypes with Figma round-trips.,,2-wds-design,bmad-wds-conceptual-specs,,,,,false,design_artifacts/C-UX-Scenarios,html-prototypes visual-designs,
